Fremont,"94,555",CA,Alameda,37.57,-122.05
Hayward,"94,540",CA,Alameda,37.68,-121.92
Hayward,"94,541",CA,Alameda,37.67,-122.09
Hayward,"94,542",CA,Alameda,37.66,-122.05
Hayward,"94,543",CA,Alameda,37.67,-122.08
Hayward,"94,544",CA,Alameda,37.64,-122.07
Hayward,"94,545",CA,Alameda,37.63,-122.10
Hayward,"94,557",CA,Alameda,37.68,-121.92
Livermore,"94,550",CA,Alameda,37.68,-121.76
Livermore,"94,551",CA,Alameda,37.75,-121.77
Newark,"94,560",CA,Alameda,37.54,-122.03
Oakland,"94,601",CA,Alameda,37.78,-122.22
Oakland,"94,602",CA,Alameda,37.80,-122.21
Oakland,"94,603",CA,Alameda,37.74,-122.17
Oakland,"94,604",CA,Alameda,37.80,-122.27
Oakland,"94,605",CA,Alameda,37.76,-122.16
Oakland,"94,606",CA,Alameda,37.80,-122.24
Oakland,"94,607",CA,Alameda,37.81,-122.29
Oakland,"94,609",CA,Alameda,37.84,-122.26
Oakland,"94,610",CA,Alameda,37.81,-122.24
Oakland,"94,611",CA,Alameda,37.85,-122.22
Oakland,"94,612",CA,Alameda,37.81,-122.27
Oakland,"94,613",CA,Alameda,37.78,-122.19
Oakland,"94,614",CA,Alameda,37.73,-122.20
Oakland,"94,615",CA,Alameda,37.81,-122.30
Oakland,"94,617",CA,Alameda,37.81,-122.27
Oakland,"94,618",CA,Alameda,37.84,-122.24
Oakland,"94,619",CA,Alameda,37.79,-122.19
Oakland,"94,621",CA,Alameda,37.76,-122.19
Oakland,"94,622",CA,Alameda,37.80,-122.23
Oakland,"94,623",CA,Alameda,37.80,-122.27
Oakland,"94,624",CA,Alameda,37.80,-122.27
Oakland,"94,649",CA,Alameda,37.80,-122.27
Oakland,"94,659",CA,Alameda,37.80,-122.27
Oakland,"94,660",CA,Alameda,37.80,-122.27
Oakland,"94,661",CA,Alameda,37.80,-122.27
Oakland,"94,666",CA,Alameda,37.80,-122.27
Piedmont,"94,620",CA,Alameda,37.82,-122.23
Pleasanton,"94,566",CA,Alameda,37.67,-121.88
Pleasanton,"94,588",CA,Alameda,37.69,-121.90
San Leandro,"94,577",CA,Alameda,37.72,-122.16
San Leandro,"94,578",CA,Alameda,37.70,-122.12
San Leandro,"94,579",CA,Alameda,37.69,-122.15
San Lorenzo,"94,580",CA,Alameda,37.68,-122.13
Sunol,"94,586",CA,Alameda,37.61,-121.90
Union City,"94,587",CA,Alameda,37.59,-122.05
Alamosa,"81,101",CO,Alamosa,37.47,-105.88
Alamosa,"81,102",CO,Alamosa,37.48,-105.88
Hooper,"81,136",CO,Alamosa,37.72,-105.87
Mosca,"81,146",CO,Alamosa,37.64,-105.81
Albany,"12,201",NY,Albany,42.65,-73.76
Albany,"12,202",NY,Albany,42.64,-73.76
Albany,"12,203",NY,Albany,42.70,-73.86
Albany,"12,204",NY,Albany,42.68,-73.74
Albany,"12,205",NY,Albany,42.72,-73.82
Albany,"12,206",NY,Albany,42.67,-73.77
Albany,"12,207",NY,Albany,42.65,-73.76
Albany,"12,208",NY,Albany,42.66,-73.80
Albany,"12,209",NY,Albany,42.64,-73.79
Albany,"12,210",NY,Albany,42.66,-73.76
Albany,"12,211",NY,Albany,42.71,-73.77
Albany,"12,212",NY,Albany,42.72,-73.81
Albany,"12,214",NY,Albany,42.65,-73.76
Albany,"12,220",NY,Albany,42.65,-73.76
Albany,"12,222",NY,Albany,42.69,-73.83
Albany,"12,223",NY,Albany,42.65,-73.76
Albany,"12,224",NY,Albany,42.65,-73.76
Albany,"12,225",NY,Albany,42.65,-73.76
Albany,"12,226",NY,Albany,42.65,-73.76
Albany,"12,227",NY,Albany,42.65,-73.76
Albany,"12,228",NY,Albany,42.65,-73.76
